Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
925000,97-01-30,CAN,CAN,74,190,2015,18,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2
2250000,93-12-21,CAN,CAN,,207,2012,15,R,Ceci,Cody,D,OTT,79,,15,6,9,17,-11
8000000,88-04-16,USA,USA,72,218,,7,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7
3500000,92-01-07,CAN,CAN,77,220,2010,3,R,Gudbranson,Erik,D,VAN,30,1,5,,0,6,-14
1750000,94-03-29,CAN,CAN,,217,2012,16,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9
1500000,79-05-23,CAN,CAN,70,192,,156,L,Campbell,Brian,D,CHI,80,,12,6,6,17,
950000,90-11-21,SWE,SWE,71,185,2009,53,L,Rodin,Anton,RW,VAN,3,0,1,0,1,1,1
842500,93-07-28,CAN,CAN,,183,,,R,Rodrigues,Evan,LW/C,BUF,30,4,2,2,0,6,-7
1250000,92-06-14,CAN,CAN,72,214,2010,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,,-19
925000,93-04-27,CAN,CAN,68,178,2011,201,L,Peca,Matthew,C,T.B,10,1,1,1,,2,-3
800000,86-07-27,CAN,CAN,73,195,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6
600000,92-04-09,CAN,CAN,74,204,2010,89,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12
1000000,88-03-17,CAN,CAN,,200,2006,66,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16
925000,96-06-20,CAN,CAN,73,186,2014,4,L,Bennett,Sam,C,CGY,81,13,,7,6,26,-16
950000,89-04-20,CAN,CAN,72,195,,112,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16
680000,94-01-06,CAN,CAN,,187,2012,105,L,Kulak,Brett,D,CGY,21,0,3,2,1,,-3
590000,92-04-24,CAN,CAN,71,183,2011,209,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0
650000,91-05-13,CAN,CAN,74,203,2009,70,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3
2250000,86-04-28,CZE,CZE,74,235,2004,180,R,Polak,Roman,D,TOR,75,,7,,5,11,10
600000,90-10-08,USA,USA,,210,2009,114,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2
5000000,94-03-09,CAN,CAN,73,215,2012,5,L,Rielly,Morgan,D,TOR,76,6,21,14,7,27,-20
5250000,92-06-25,CAN,CAN,70,188,2010,14,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,,14
925000,96-05-01,CAN,SWE,,190,2014,8,R,Nylander,William,C/RW,TOR,81,22,39,23,16,61,
1600000,90-11-29,CZE,CZE,79,220,,,R,Sustr,Andrej,D,T.B,80,3,11,5,6,14,-10
717500,96-11-26,USA,USA,77,203,2015,37,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,
925000,96-05-25,CZE,CZE,72,181,2014,25,R,Pastrnak,David,RW/LW,BOS,75,34,36,22,14,70,11
900000,98-03-14,CAN,CAN,,191,2016,10,L,Jost,Tyson,C/LW/RW,COL,6,1,0,0,0,1,-5
3750000,88-05-28,CAN,CAN,72,200,2007,26,R,Perron,David,LW/RW,STL,82,18,28,,12,46,-2
792500,94-03-23,SWE,SWE,75,209,2012,81,R,Sundqvist,Oskar,C,PIT,10,0,0,0,0,0,-4
600000,90-11-16,USA,USA,,219,,,L,Schaller,Tim,C,BOS,59,7,,6,1,14,-6
6000000,91-08-22,CAN,CAN,73,195,,5,L,Schenn,Brayden,C/LW,PHI,79,25,30,17,13,55,-13
5500000,92-03-20,USA,USA,72,215,2010,37,R,Faulk,Justin,D,CAR,75,17,20,11,9,,-18
724500,92-10-26,CAN,CAN,72,192,2011,65,L,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,3,3,10,0
725000,91-11-01,CAN,CAN,72,188,,,L,Carr,Daniel,LW,MTL,33,2,7,5,,9,4
4000000,90-06-05,CZE,CZE,72,204,2010,66,R,Gudas,Radko,D,PHI,67,,17,10,7,23,8
800000,90-09-23,CAN,CAN,70,206,2009,132,L,Bourque,Gabriel,LW/RW,COL,6,0,0,0,0,0,0
